sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
Emeryville-based Ask Jeeves agreed to sell a business software division to a Sunnyvale-based rival, Kanisa, for $4.25 million.	Ask Jeeves Wednesday announced it plans to sell its enterprise software division, Jeeves Solutions, to Kanisa.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 1, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 0, 1, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Emeryville-based', 'Ask', 'Jeeves', 'agreed', 'to', 'sell', 'a', 'business', 'software', 'division', 'to', 'a', 'Sunnyvale-based', 'rival', ',', 'Kanisa', ',', 'for', '$', '4.25', 'million', '.']	['Ask', 'Jeeves', 'Wednesday', 'announced', 'it', 'plans', 'to', 'sell', 'its', 'enterprise', 'software', 'division', ',', 'Jeeves', 'Solutions', ',', 'to', 'Kanisa', '.\n']	0f4eb6ed75fb4ad8925326acb3ace728
"""I picked prostitutes as my victims because I hate most prostitutes and I did not want to pay them for sex."""	"It went on: ""I picked prostitutes as my victims because I hated most prostitutes and I did not want to pay them for sex."	[1, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[7, 7, 7, 7, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['``', 'I', 'picked', 'prostitutes', 'as', 'my', 'victims', 'because', 'I', 'hate', 'most', 'prostitutes', 'and', 'I', 'did', 'not', 'want', 'to', 'pay', 'them', 'for', 'sex', '.', ""''""]"	['It', 'went', 'on', ':', '``', 'I', 'picked', 'prostitutes', 'as', 'my', 'victims', 'because', 'I', 'hated', 'most', 'prostitutes', 'and', 'I', 'did', 'not', 'want', 'to', 'pay', 'them', 'for', 'sex', '.\n']	6b637fb5c2e042f09f61e5e45ea05fc2
A positive PSA test has to be followed up with a biopsy or other procedures before cancer can be confirmed.	Before confirming a diagnosis of cancer, a positive PSA test must be followed up with a biopsy or other procedures.	[1, 2, 4, 6, 7, 0, 0]	[6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 6]	[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6]	['A', 'positive', 'PSA', 'test', 'has', 'to', 'be', 'followed', 'up', 'with', 'a', 'biopsy', 'or', 'other', 'procedures', 'before', 'cancer', 'can', 'be', 'confirmed', '.']	['Before', 'confirming', 'a', 'diagnosis', 'of', 'cancer', ',', 'a', 'positive', 'PSA', 'test', 'must', 'be', 'followed', 'up', 'with', 'a', 'biopsy', 'or', 'other', 'procedures', '.\n']	98658868746d40df9bcf458e929997c0
So far, however, only four companies have licensed the protocols, according to the report to the judge yesterday.	So far, only four companies have licensed Microsoft's communications protocols: EMC, Network Appliance, VeriSign and Starbak Communications, the report noted.	[2, 5, 6, 7, 0, 0, 0]	[0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 2, 2, 0, 5, 5, 5, 5, 7, 7, 7, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 5, 5, 5, 7]	['So', 'far', ',', 'however', ',', 'only', 'four', 'companies', 'have', 'licensed', 'the', 'protocols', ',', 'according', 'to', 'the', 'report', 'to', 'the', 'judge', 'yesterday', '.']	"['So', 'far', ',', 'only', 'four', 'companies', 'have', 'licensed', 'Microsoft', ""'s"", 'communications', 'protocols', ':', 'EMC', ',', 'Network', 'Appliance', ',', 'VeriSign', 'and', 'Starbak', 'Communications', ',', 'the', 'report', 'noted', '.\n']"	1e910c3867f043ab99afc5709f48e9bf
"The speaker issued a one-paragraph statement, saying, ""I am advised that certain allegations of criminal conduct have been interposed against my counsel, J. Michael Boxley."	"""I am advised that certain allegations of criminal conduct have been interposed against my counsel J. Michael Boxley,"" Silver said."	[2, 5, 7, 0, 0, 0, 0]	[2, 2, 7, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 0, 0]	['The', 'speaker', 'issued', 'a', 'one-paragraph', 'statement', ',', 'saying', ',', '``', 'I', 'am', 'advised', 'that', 'certain', 'allegations', 'of', 'criminal', 'conduct', 'have', 'been', 'interposed', 'against', 'my', 'counsel', ',', 'J.', 'Michael', 'Boxley', '.']	"['``', 'I', 'am', 'advised', 'that', 'certain', 'allegations', 'of', 'criminal', 'conduct', 'have', 'been', 'interposed', 'against', 'my', 'counsel', 'J.', 'Michael', 'Boxley', ',', ""''"", 'Silver', 'said', '.\n']"	d41f445ec4854450af941561d526f74b
"We acted because we saw the existing evidence in a new light, through the prism of our experience on 11 September,"" Rumsfeld said."	"Rather, the US acted because the administration saw ""existing evidence in a new light, through the prism of our experience on September 11""."	[2, 3, 5, 6, 7, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['We', 'acted', 'because', 'we', 'saw', 'the', 'existing', 'evidence', 'in', 'a', 'new', 'light', ',', 'through', 'the', 'prism', 'of', 'our', 'experience', 'on', '11', 'September', ',', ""''"", 'Rumsfeld', 'said', '.']"	"['Rather', ',', 'the', 'US', 'acted', 'because', 'the', 'administration', 'saw', '``', 'existing', 'evidence', 'in', 'a', 'new', 'light', ',', 'through', 'the', 'prism', 'of', 'our', 'experience', 'on', 'September', '11', ""''"", '.\n']"	51df01e8072e42bea34c1d312790ef0f
The Institute for Supply Management's manufacturing index dipped to 53.7 from 54.7 in August.	The Institute's national manufacturing barometer slipped to 53.7 in September from 54.7 in August.	[2, 6, 7, 0, 0, 0, 0]	[7, 2, 2, 2, 2, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7]	[0, 2, 0, 0, 0, 2, 2, 0, 0, 7, 7, 0, 0, 0, 0, 0]	"['The', 'Institute', 'for', 'Supply', 'Management', ""'s"", 'manufacturing', 'index', 'dipped', 'to', '53.7', 'from', '54.7', 'in', 'August', '.']"	"['The', 'Institute', ""'s"", 'national', 'manufacturing', 'barometer', 'slipped', 'to', '53.7', 'in', 'September', 'from', '54.7', 'in', 'August', '.\n']"	ebe98d51421242ae9be1b5ca4dd9dbf8
The couple was granted an annulment in September 2001 and Joanie Harper was given sole custody of Marques and Lyndsey, court records show.	Joanie Harper and Brothers were granted an annulment in September 2001, and Harper was given sole custody of Marques and Lyndsey, court records show.	[2, 5, 6, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['The', 'couple', 'was', 'granted', 'an', 'annulment', 'in', 'September', '2001', 'and', 'Joanie', 'Harper', 'was', 'given', 'sole', 'custody', 'of', 'Marques', 'and', 'Lyndsey', ',', 'court', 'records', 'show', '.']	['Joanie', 'Harper', 'and', 'Brothers', 'were', 'granted', 'an', 'annulment', 'in', 'September', '2001', ',', 'and', 'Harper', 'was', 'given', 'sole', 'custody', 'of', 'Marques', 'and', 'Lyndsey', ',', 'court', 'records', 'show', '.\n']	18fd38d27b0645d3b5c2aeea0be643b6
Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume, compared with 14 percent for saturated fat.	Trans fat accounts for 2.5 percent of Americans' daily calories, compared to 11 percent to 12 percent for saturated fat.	[2, 6, 7, 0, 0, 0, 0]	[6, 6, 2, 2, 7, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 6, 6, 2, 0, 6, 6, 6, 6, 6]	[7, 7, 2, 0, 6, 7, 7, 2, 2, 2, 2, 7, 7, 2, 6, 6, 6, 6, 7, 7, 7, 7, 0]	['Trans', 'fat', 'makes', 'up', 'only', '1', 'percent', 'to', '3', 'percent', 'of', 'the', 'total', 'fat', 'Americans', 'consume', ',', 'compared', 'with', '14', 'percent', 'for', 'saturated', 'fat', '.']	"['Trans', 'fat', 'accounts', 'for', '2.5', 'percent', 'of', 'Americans', ""'"", 'daily', 'calories', ',', 'compared', 'to', '11', 'percent', 'to', '12', 'percent', 'for', 'saturated', 'fat', '.\n']"	5564e2b6f00f417e84c54f2ad4a9fa77
However, a recent slide in prices and OPEC's expectations of a surge in oil inventories have compounded its fears about a further softening of the market.	A 14 percent slide in crude prices this month and expectations of a build up in oil inventories compounded OPEC's fears of a further softening of the market.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 1, 1, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 1, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	"['However', ',', 'a', 'recent', 'slide', 'in', 'prices', 'and', 'OPEC', ""'s"", 'expectations', 'of', 'a', 'surge', 'in', 'oil', 'inventories', 'have', 'compounded', 'its', 'fears', 'about', 'a', 'further', 'softening', 'of', 'the', 'market', '.']"	"['A', '14', 'percent', 'slide', 'in', 'crude', 'prices', 'this', 'month', 'and', 'expectations', 'of', 'a', 'build', 'up', 'in', 'oil', 'inventories', 'compounded', 'OPEC', ""'s"", 'fears', 'of', 'a', 'further', 'softening', 'of', 'the', 'market', '.\n']"	ce67cc639d2441128d8d2809b5bf478f
Smith found the cigarette tax falls on the tobacco consumer, not the tribe, meaning the tribe is simply an agent for collecting a tax.	Smith ruled that the state's tax falls on the tobacco consumer, not the tribe, making the tribe simply an agent for collecting the tax.	[2, 5, 6, 7, 0, 0, 0]	[7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7]	[7, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7]	['Smith', 'found', 'the', 'cigarette', 'tax', 'falls', 'on', 'the', 'tobacco', 'consumer', ',', 'not', 'the', 'tribe', ',', 'meaning', 'the', 'tribe', 'is', 'simply', 'an', 'agent', 'for', 'collecting', 'a', 'tax', '.']	"['Smith', 'ruled', 'that', 'the', 'state', ""'s"", 'tax', 'falls', 'on', 'the', 'tobacco', 'consumer', ',', 'not', 'the', 'tribe', ',', 'making', 'the', 'tribe', 'simply', 'an', 'agent', 'for', 'collecting', 'the', 'tax', '.\n']"	9d55dd7ab3bf419b8efc521cdb926459
Hoffa, 62, vanished on the afternoon of July 30, 1975, from a Bloomfield Township parking lot in Oakland County, about 25 miles north of Detroit.	Hoffa, 62, vanished on the afternoon of July 30, 1975, from a parking lot in a Detroit suburb in Oakland County.	[2, 3, 6, 7, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7]	['Hoffa', ',', '62', ',', 'vanished', 'on', 'the', 'afternoon', 'of', 'July', '30', ',', '1975', ',', 'from', 'a', 'Bloomfield', 'Township', 'parking', 'lot', 'in', 'Oakland', 'County', ',', 'about', '25', 'miles', 'north', 'of', 'Detroit', '.']	['Hoffa', ',', '62', ',', 'vanished', 'on', 'the', 'afternoon', 'of', 'July', '30', ',', '1975', ',', 'from', 'a', 'parking', 'lot', 'in', 'a', 'Detroit', 'suburb', 'in', 'Oakland', 'County', '.\n']	3d4741f69d2346ebb1554ecb05edd249
There will be no vote on the issue but those opposed to Robinson's appointment are thought to outnumber those who accept it by around 20 to 17.	There will be no vote on the issue but those opposed to Robinson's appointment are thought to be in the majority.	[6, 7, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 7]	"['There', 'will', 'be', 'no', 'vote', 'on', 'the', 'issue', 'but', 'those', 'opposed', 'to', 'Robinson', ""'s"", 'appointment', 'are', 'thought', 'to', 'outnumber', 'those', 'who', 'accept', 'it', 'by', 'around', '20', 'to', '17', '.']"	"['There', 'will', 'be', 'no', 'vote', 'on', 'the', 'issue', 'but', 'those', 'opposed', 'to', 'Robinson', ""'s"", 'appointment', 'are', 'thought', 'to', 'be', 'in', 'the', 'majority', '.\n']"	cea20ffa255f4a9592bf4b839ec29b8e
Peterson, 31, is now charged with murder in the deaths of his 27-year-old wife and their unborn son.	Peterson, 31, is charged with two counts of first-degree murder in the slayings of his wife, Laci, and their unborn son, Conner.	[2, 6, 7, 0, 0, 0, 0]	[7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 0]	[0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 0, 0, 0, 2, 0, 0, 0, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0]	['Peterson', ',', '31', ',', 'is', 'now', 'charged', 'with', 'murder', 'in', 'the', 'deaths', 'of', 'his', '27-year-old', 'wife', 'and', 'their', 'unborn', 'son', '.']	['Peterson', ',', '31', ',', 'is', 'charged', 'with', 'two', 'counts', 'of', 'first-degree', 'murder', 'in', 'the', 'slayings', 'of', 'his', 'wife', ',', 'Laci', ',', 'and', 'their', 'unborn', 'son', ',', 'Conner', '.\n']	9ad4fb901efe4b3db196a13f2f30e78a
"""Writing safe programs that demonstrate an infection vector is adequate [to demonstrate a vulnerability] without building in the reproductive sequences."	"Writing safe programs that demonstrate an infection vector is adequate without building in the reproductive sequences."""	[5, 6, 7, 0, 0, 0, 0]	[0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['``', 'Writing', 'safe', 'programs', 'that', 'demonstrate', 'an', 'infection', 'vector', 'is', 'adequate', '[', 'to', 'demonstrate', 'a', 'vulnerability', ']', 'without', 'building', 'in', 'the', 'reproductive', 'sequences', '.']	"['Writing', 'safe', 'programs', 'that', 'demonstrate', 'an', 'infection', 'vector', 'is', 'adequate', 'without', 'building', 'in', 'the', 'reproductive', 'sequences', '.', ""''\n""]"	ecbb4d5f59c64850a51f62fe72a6cdec
In other words, Cablevision is obligated to pay for YES Network's lawsuit against Time Warner Cable.	Ironically, Cablevision will be footing the bill for YES' lawsuit against Time Warner Cable.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 1, 1, 1, 1, 6, 2, 2, 0, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 1, 1, 1, 1, 1, 6, 2, 0, 6, 6, 6, 6, 6, 6]	"['In', 'other', 'words', ',', 'Cablevision', 'is', 'obligated', 'to', 'pay', 'for', 'YES', 'Network', ""'s"", 'lawsuit', 'against', 'Time', 'Warner', 'Cable', '.']"	"['Ironically', ',', 'Cablevision', 'will', 'be', 'footing', 'the', 'bill', 'for', 'YES', ""'"", 'lawsuit', 'against', 'Time', 'Warner', 'Cable', '.\n']"	76bb395f918c48348dda636d2d636739
A gunman who had ``a beef with the Postal Service'' stormed into a suburban post office and took two employees hostage Wednesday, authorities said.	A gunman stormed into the Lakeside post office and took two employees hostage Wednesday, San Diego County authorities said.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	"['A', 'gunman', 'who', 'had', '``', 'a', 'beef', 'with', 'the', 'Postal', 'Service', ""''"", 'stormed', 'into', 'a', 'suburban', 'post', 'office', 'and', 'took', 'two', 'employees', 'hostage', 'Wednesday', ',', 'authorities', 'said', '.']"	['A', 'gunman', 'stormed', 'into', 'the', 'Lakeside', 'post', 'office', 'and', 'took', 'two', 'employees', 'hostage', 'Wednesday', ',', 'San', 'Diego', 'County', 'authorities', 'said', '.\n']	b9ca0b07509f46d692ee4c0d660a2042
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22."	The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.	[1, 2, 5, 6, 7, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 7, 0, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 7, 7, 7, 6, 6, 6, 2, 6, 6, 6, 6]	"['The', 'agency', 'will', '``', 'consider', 'as', 'timely', 'any', 'tax', 'returns', 'or', 'payments', 'due', ""''"", 'Aug.', '15', 'if', 'they', 'are', 'submitted', 'by', 'Aug.', '22', '.']"	['The', 'agency', 'said', 'it', 'would', 'consider', 'as', 'timely', 'any', 'tax', 'returns', 'or', 'payments', 'due', 'from', 'Friday', 'through', 'Aug.', '22', 'if', 'they', 'are', 'completed', 'by', 'Aug.', '22', '.\n']	ce35e23923cb43209669609a951abc90
Appleton said police continue to hold out the possibility that more than one person was involved in the poisonings.	He said investigators have not ruled out the possibility that more than one person was behind the poisonings.	[2, 3, 6, 0, 0, 0, 0]	[2, 6, 2, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6]	[2, 6, 2, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6]	['Appleton', 'said', 'police', 'continue', 'to', 'hold', 'out', 'the', 'possibility', 'that', 'more', 'than', 'one', 'person', 'was', 'involved', 'in', 'the', 'poisonings', '.']	['He', 'said', 'investigators', 'have', 'not', 'ruled', 'out', 'the', 'possibility', 'that', 'more', 'than', 'one', 'person', 'was', 'behind', 'the', 'poisonings', '.\n']	257e986c7530455f9020cb335a228739
"""My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know."""	"My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press."""	[1, 5, 6, 7, 0, 0, 0]	[6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	"['``', 'My', 'judgment', 'is', '95', 'percent', 'of', 'that', 'information', 'should', 'be', 'declassified', ',', 'become', 'uncensored', ',', 'so', 'the', 'American', 'people', 'would', 'know', '.', ""''""]"	"['My', 'judgment', 'is', '95', 'percent', 'of', 'that', 'information', 'could', 'be', 'declassified', ',', 'become', 'uncensored', 'so', 'the', 'American', 'people', 'would', 'know', ',', ""''"", 'Mr.', 'Shelby', 'said', 'on', 'NBC', ""'s"", '``', 'Meet', 'the', 'Press', '.', ""''\n""]"	a6fa218ad87247229019adaf8956beae
Shares of Microsoft fell 1 cent to close at $25.65 on the Nasdaq Stock Market.	Microsoft shares (MSFT: news, chart, profile) fell 1 cent to close at $25.65.	[3, 6, 7, 0, 0, 0, 0]	[3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Shares', 'of', 'Microsoft', 'fell', '1', 'cent', 'to', 'close', 'at', '$', '25.65', 'on', 'the', 'Nasdaq', 'Stock', 'Market', '.']	['Microsoft', 'shares', '(', 'MSFT', ':', 'news', ',', 'chart', ',', 'profile', ')', 'fell', '1', 'cent', 'to', 'close', 'at', '$', '25.65', '.\n']	d5b8a8ce6972421a94517cddba0145f5
"His other films include ""Malcolm X,"" ""Summer of Sam"" and ""Jungle Fever."""	"His movies include ""Malcolm X,"" ""Summer of Sam,"" ""Jungle Fever"" and ""Do the Right Thing."""	[2, 3, 6, 7, 0, 0, 0]	[7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7]	[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 0, 7]	"['His', 'other', 'films', 'include', '``', 'Malcolm', 'X', ',', ""''"", '``', 'Summer', 'of', 'Sam', ""''"", 'and', '``', 'Jungle', 'Fever', '.', ""''""]"	"['His', 'movies', 'include', '``', 'Malcolm', 'X', ',', ""''"", '``', 'Summer', 'of', 'Sam', ',', ""''"", '``', 'Jungle', 'Fever', ""''"", 'and', '``', 'Do', 'the', 'Right', 'Thing', '.', ""''\n""]"	4b4b9e2725154343832d8f25c2366576
She was arraigned in New York state on three counts of murder and ordered held without bail.	She was arraigned on three counts of second-degree murder and ordered held without bail in Sullivan County Jail.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 0]	['She', 'was', 'arraigned', 'in', 'New', 'York', 'state', 'on', 'three', 'counts', 'of', 'murder', 'and', 'ordered', 'held', 'without', 'bail', '.']	['She', 'was', 'arraigned', 'on', 'three', 'counts', 'of', 'second-degree', 'murder', 'and', 'ordered', 'held', 'without', 'bail', 'in', 'Sullivan', 'County', 'Jail', '.\n']	f3aa7a8a17064deb99c17bf3223904a2
He acted as an international executive producer on Who Wants to be a Millionaire and The Weakest Link.	A Melbourne TV producer who worked on shows including Who Wants To Be a Millionaire?	[2, 5, 0, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['He', 'acted', 'as', 'an', 'international', 'executive', 'producer', 'on', 'Who', 'Wants', 'to', 'be', 'a', 'Millionaire', 'and', 'The', 'Weakest', 'Link', '.']	['A', 'Melbourne', 'TV', 'producer', 'who', 'worked', 'on', 'shows', 'including', 'Who', 'Wants', 'To', 'Be', 'a', 'Millionaire', '?\n']	377cf83277384f568755d3939475473c
Carlson on Tuesday said he would not recuse himself from the case.	Service officials said Carlson refused to recuse himself from the case.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 0, 2, 2, 0, 0, 0, 0, 0, 0]	['Carlson', 'on', 'Tuesday', 'said', 'he', 'would', 'not', 'recuse', 'himself', 'from', 'the', 'case', '.']	['Service', 'officials', 'said', 'Carlson', 'refused', 'to', 'recuse', 'himself', 'from', 'the', 'case', '.\n']	0b6845b044e24056b88d9b881a1dfd5c
After 9/11, Connolly said, agents spent thousands of hours investigating al-Bayoumi.	Connolly said FBI agents in San Diego and abroad spent thousands of hours investigating al-Bayoumi.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 7, 0, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0]	['After', '9/11', ',', 'Connolly', 'said', ',', 'agents', 'spent', 'thousands', 'of', 'hours', 'investigating', 'al-Bayoumi', '.']	['Connolly', 'said', 'FBI', 'agents', 'in', 'San', 'Diego', 'and', 'abroad', 'spent', 'thousands', 'of', 'hours', 'investigating', 'al-Bayoumi', '.\n']	40d60aa13ab442989b0bd4742ed4c151
The program will grow to include ports in Dubai, Turkey and Malaysia, among others.	The program will be expanded to include areas of the Middle East such as Dubai, Turkey and Malaysia, Mr. Ridge said.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 2, 2, 0, 0, 2, 2, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 0]	['The', 'program', 'will', 'grow', 'to', 'include', 'ports', 'in', 'Dubai', ',', 'Turkey', 'and', 'Malaysia', ',', 'among', 'others', '.']	['The', 'program', 'will', 'be', 'expanded', 'to', 'include', 'areas', 'of', 'the', 'Middle', 'East', 'such', 'as', 'Dubai', ',', 'Turkey', 'and', 'Malaysia', ',', 'Mr.', 'Ridge', 'said', '.\n']	70040b61ba0d48b9aafdec8314829e0d
With an estimated net worth of $1.7 billion, Mrs. Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people.	Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people, with an estimated net worth of $1.7 billion.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6]	"['With', 'an', 'estimated', 'net', 'worth', 'of', '$', '1.7', 'billion', ',', 'Mrs.', 'Kroc', 'ranked', 'No', '.', '121', 'on', 'Forbes', 'magazine', ""'s"", 'latest', 'list', 'of', 'the', 'nation', ""'s"", 'wealthiest', 'people', '.']"	"['Kroc', 'ranked', 'No', '.', '121', 'on', 'Forbes', 'magazine', ""'s"", 'latest', 'list', 'of', 'the', 'nation', ""'s"", 'wealthiest', 'people', ',', 'with', 'an', 'estimated', 'net', 'worth', 'of', '$', '1.7', 'billion', '.\n']"	20eeb911b76449478077c6aacffcb37b
