id	sentence1	sentence2	similarity
f1f0f960-6187-47e6-866c-797b65c4a055	Venezuela's Chavez in Cuba for 3rd anti-cancer treatment	Venezuelan leader returning to Cuba for treatment	3.2
23cb1256-ba45-4ec4-9ab6-ece2ca0abc03	A small dog is chasing a yoga ball.	A dog is chasing a ball.	4.0
88c38ed2-e2b2-43ba-a118-12f83bf16ec9	Costa's semifinal opponent is Spaniard Juan Carlos Ferrero, whom he beat in last year's final.	Costa will play Juan Carlos Ferrero next in a rematch of last year's final.	3.75
3cd97695-38b6-4561-8c7b-90ede7da5090	ukraine almost has all of the necessary approvals to join the european space agency's program.	france is a leader in the european space agency.	1.6
b47ba042-22d1-4e30-af58-caa19c623831	in july 2006 jordanian prime minister maaruf bakhit stated that-- raghdad hussein and family were living under the protection of king abdullah ii.	jordanian prime minister maaruf bakhit said in july 2006 that raghdad hussein and her family were living under the protection of king abdullah ii after iraq issued its	4.2
3d52254a-40dc-4e30-8993-50ded0ad5336	Pakistan blocks Twitter over anti-Islamic material	Pakistan blocks Twitter over 'blasphemy'	3.8
97c2aceb-0a95-404d-a5fa-09319ecbb789	More expensive homes.	More expensive cars.	1.2
ac4a787a-7d66-42aa-a337-addd08bccb05	A man is playing a guitar.	A man is eating a banana.	0.6
50a27025-c04f-4aa1-83f3-0e41c9434313	The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.	Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.	3.6
1aad444b-39f0-4526-9948-1c4dae57402f	Gunmen kill nine foreigners in Pakistan	Gunmen kill nine tourists in Pakistan	4.8
1821ba2b-e347-4ec0-b252-cfbe5134fd1b	Honduran ambassador to Colombia sacked after wild party	Honduras ambassador resigns after alleged embassy orgy	3.6
4569e0ec-fbde-4a42-a2a6-fa64e2d0301a	"""It seems to me ... we're just dealing with bragging rights here, who wins and who loses,"" said Gammerman, who heard the case without a jury."	"""Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses,"" said Gammerman."	3.667
a319a1ef-c567-428d-997f-80c72c7e7a7b	The best way to clear your head after a study session is by taking on a vigorous physical exercise (min.	What works for me is to switch the subjects and take frequent breaks.	2.2
357ab55e-f68f-4db4-b84e-0ef3435bcb0a	4 Egyptian soldiers killed in Sinai ambush	3 Egyptian soldiers killed in Sinai car bombing	3.2
cf789af9-67c3-4c41-8b91-de24eae5d858	DeVries did make one stop in town Wednesday - registering as a sex offender at the Soledad Police Department.	Convicted child molester Brian DeVries spoke out in response to community outrage Wednesday afternoon after registering as a sex offender at the Soledad Police Department.	3.25
0c263222-7163-4955-bfc7-27471911d80c	Two men standing in grass staring at a car.	A woman in a pink top posing with beer.	0.2
22e8d327-52ad-4a6d-b67d-e822791a38b3	A girl is jumping.	A boy is rock climbing.	0.6
121b60ea-4212-4281-826c-a7d37f4a45d9	Volume was moderate at 827.68 million shares, up from 798.95 million at the same point Tuesday.	Volume came to 439.66 million shares, below 450.39 million at the same point Wednesday.	1.5
7d4444fc-2a55-4121-8f17-36aaae78f153	Egypt poll: 98 per cent vote 'yes' for new constitution	Egypt holding key vote on constitution	2.4
81e905c0-30f4-41cc-b9b2-d7585c965a78	Not 'hiding the ball' on Russia: Obama	Obama says he's not 'hiding the ball' on Russia	4.4
974fbff5-7a3c-4084-ac8b-7df5d1c988f1	U.S. drone strike kills 5 in Pakistan	Pakistan drone strike kills up to six	3.0
d3431734-4631-4a2c-87a4-dff2bc2a5ef4	UN resolution orders Syria chemical arms destroyed	Germany ready to help Syria chemical mission	1.0
b23e6371-a4db-4dde-a853-11d209b2f76b	China yuan strengthens to 6.1184 against USD Tuesday	China yuan weakens to 6.1510 against USD	1.8
ecf5683e-cd98-4c47-8160-25b86b8c6596	If you answer yes to  and no to  you are probably straight.	If you answer no to  but yes to  then you are probably straight.	3.1
c1c4fc9a-9fe5-432d-bb13-22ff4881c17c	The technology-laced Nasdaq Composite Index .IXIC inched down 1 point, or 0.11 percent, to 1,650.	The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.	0.8
00be4c55-08a6-4dc5-8471-91c0ade770ff	A man is folding a piece of paper.	A man is slicing a plastic container with a sword.	0.5
2ed16a7b-e51e-4d59-8049-2984ee7dd105	A man is riding a bike.	A woman is dancing in the street.	0.2
9cd9ac31-9cd0-44fc-a030-698f95936bcc	Algeria president gets therapy after stroke: state media	Bulgarian president tries to break election stalemate	0.4
c413ede3-ac2c-40c4-bdc0-d68771b19058	Ashya's Parents Arrive For Extradition Hearing	Ashya King's parents freed from jail in Spain	1.0
d0f8007b-4c93-4cbe-a337-81e52e462ec2	Red double decker bus taking on passengers.	Red double decker bus with hood up.	2.2
4bf5f141-4253-4087-a14a-5125fbcd17a8	A group of men playing brass instruments.	A group of guys play instruments outside.	3.4
ac4803b0-f544-482a-8637-201139e6120d	Death toll from Philippine earthquake rises to 185	Death toll from Philippines quake rises to 144	3.6
03ef8326-c9ec-4303-91b7-aa4f29b03649	Two children splashing in the water.	Two dolphins jumping into the water.	1.4
7ff524b2-f0f9-418f-8900-44260018893a	indian nationals constitute the largest number of foreign inmates in nepal prisons.	drug traffickers from foreign countries constitute the largest percentage of foreign inmates in nepal.	2.0
c1765ce7-2e45-4d41-8166-e16c9310f1f9	A black dog is chasing two birds on the shore of the ocean.	A dog is running along the beach beside the ocean.	2.6
7574db3b-a1ff-4583-a5f0-f5ec06cb1ad9	Capital gains, top rate:  percent.	- Income, top rate:  percent.	2.8
2f88bab5-ea5f-4c8a-836a-63becf66de3f	Adding aspirin to the water could kill the plant.	Men are trying to remove oil from a body of water.	0.0
d67f096a-ccb1-4075-b5f5-91273e1b0bc9	The puppy is outdoor.	A man in printed board shorts is doing a yoga pose on the beach.	0.0
352024bd-7ddf-4c36-af92-9193b71ace5e	"""I'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it""."	"""I'm not going to be sponsoring it because it's not our proposal, but I'm not responding to it in a negative way,"" he said."	4.4
4fb8e18b-6736-4899-aae0-8ccba004036c	Judge Leroy Millette Jr. can reduce the punishment to life in prison without parole when Muhammad is formally sentenced Feb. 12, but Virginia judges rarely take such action.	Though the judge can reduce the punishment to life in prison without parole, experts say Virginia judges rarely take that opportunity.	3.25
739928b5-9fbe-43e6-8664-01f9035c504b	There is no maximum.	There is no quarantine period.	0.0
887af448-ed08-465c-b7d2-a9768418dda9	russia ratified the amended treaty.	russia ratified the updated treaty in 2004.	3.4
c0971896-2485-49dc-a7f2-8b1905ad4951	A black train moves down the tracks.	A mostly black train on a track.	3.0
4a9a2258-2832-481f-8b85-e1a8c3433294	Parked white double decker bus.	A red and white double decker bus is parked.	4.2
901271b0-9859-4fb4-8060-8b64d47cc90d	Morsi supporters clash with riot police in Cairo	Protesters clash with riot police in Kiev	0.8
72d2788a-5a3d-47fb-9d1e-4b5672d9134c	Russia, China veto UN resolution on Syria endorsing	Russia, China veto U.N. draft backing Arab plan for Syria (Reuters)	3.8
553b5adf-a817-4d72-8e70-7efb1374ae0b	Foreign exchange rates in India	Foreign exchange rates in Singapore	1.4
6f3889e8-0b93-4440-abb4-c3506102ff04	Two gray dogs run together over the green grass.	Two grey dogs running in green grass.	4.6
38bd1e70-c7a6-44ef-a6e5-5048ff81b247	A woman is playing the guitar.	A person is playing a guitar.	4.0
986cf7f7-e793-4d4a-bc58-ce2b6d7cb774	a siemens spokesman in germany stated that heinrich von pierer stated that siemens was beginning talks with interested chinese parties about a sale of the plutonium-processing facility.	a siemens spokesman in germany stated that heinrich von pierer stated that gerhard schroeder stated that gerhard schroeder is not against the sale of the plutonium-processing facility in principle.	4.0
286a5c9f-63c8-44d0-a510-c3fa85f2ce91	Nterprise Linux Services is expected to be available before then end of this year.	Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.	2.667
defc88cc-9892-4717-b408-c7c26f23bdd8	Egypt court orders release of Mubarak	Egypt court orders Mubarak freed	5.0
a602c839-7b1a-44cc-a808-5dd7941081dd	I don't see why there should be any problem with this whatsoever.	I don't see why this could be a problem.	5.0
a91a1c14-096f-4007-8fdb-9a1086ea33e2	Hezbollah confirms it sent drone downed over Israel	Hezbollah says it sent drone over Israel	3.4
e4a4410d-bcba-4738-9403-cf8fbb0a8941	Khan Said named as new Pakistani Taliban leader after Hakimullah Mehsud killed in drone strike	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike	3.4
32340c26-9b15-464d-85c7-5f5df7785e9a	The world's largest software company said it recognized the difficulty the multiple patches posed for companies, and set out to make it easier for them to apply the updates.	The world's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them.	3.5
b9501feb-7cc7-400b-b0b7-c5fc963e17c8	A panda is climbing.	A man is climbing a rope.	1.6
0387e4ee-5225-42fe-b2f4-5c34e03369d2	A golden dog is running on the grass.	The large beige dog is running through the grass.	3.4
8c3258c3-b6c5-43ac-b36c-d5f980908ac0	China yuan weakens to 6.1059 against USD	China yuan strengthens to 6.1070 against USD Friday	1.6
8d1e9b8d-2ce6-41d1-9966-2ae52cbabf6b	Slutstamp! A dear friend from Ohio sent me this.	A dear friend from Ohio sent me this.	3.6
204183fb-37d4-4404-9db7-251f3a62b7c6	The blonde woman is wearing a black, american flag, tartan cap.	A red-haired woman is wearing a black beret adorned with the American flag.	2.8
ab9156cd-0cde-4f1b-96c4-e95e8f496aac	Primer/paint will not work.	Nope that will not work.	2.0
5c424f22-bd78-4133-8f61-4f9c763432f7	The settlement taking effect this week was reached less than two months after O'Malley took the helm of the nation's fourth-largest archdiocese.	The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.	3.0
23f1df58-acb5-4d00-8a34-4921bed151fb	"The company will launch 800 hot spots, or ""Wi-Fi Zones,"" later this summer, and plans to have more than 2,100 by the end of the year."	The service will launch later this summer with 800 locations, and Sprint plans 2,100 locations by the end of the year.	3.0
bc1d95ac-9040-4d46-a007-73d623fc3cb6	This does not fully answer your question, but it is certainly one consideration.	I am a PhD student in Computational Science, which is an interdisciplinary major spanning mathematics, computer science, and engineerning.	0.0
0ac5cee4-aa50-4829-aa85-665fd51fa09a	A girl in orange lights a candle.	A girl in an orange shirt lights candles.	4.0
6e5896a2-0dfe-40de-9f6c-81741afae906	A man is scalling a sheer rock face with a rope support.	A young man is doing a ski jump with a purple board.	0.4
e8cf6a6b-f3b2-4d32-82ec-bfb5c30291cb	South Korean economic growth falls to 3-year low	S. Korean economic growth falls to near 3-year low	4.6
758a95f4-0670-4800-bc17-2e7b1c25a007	Forex &amp; Gold 6 March 2013	Forex & Gold 12 March 2013	2.6
f482541c-8034-4583-865a-73fc040f0018	A black dog is running through the snow.	The black and brown dog is running through the snow.	4.0
d0a76221-decf-4c76-ad27-c5b7109e5fa2	A man is riding a bicycle.	A man is riding a bike.	5.0
9a8a7db5-9724-4082-be49-f4fe08f5d220	Three goats are being rounded up by a dog.	Three goats are chased by a dog.	4.6
2c689524-dd5c-4e60-9560-6a054cb92751	2 of the individuals arrested were released.	2 of the zambians arrested are juveniles.	1.6
cd97a3e0-a53b-4657-a1b8-59693b8bc102	Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week.	A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.	4.0
007e11a0-2ca8-449e-88c8-79e6d1c75c39	19 hurt in New Orleans shooting	Police: 19 hurt in NOLA Mother's Day shooting	4.2
bd05e448-77be-4a00-8816-8ca9be6d297e	Benzema faces possible charges in sex-tape case	Menendez faces possible corruption charges	1.0
c6ebbb6e-b119-4df0-98db-669be40e32f0	The boy fell off his bike.	A boy falls off his bike.	4.8
2383bac7-6962-4823-8c19-5308d90888ba	I think it is depends on the program.	It depends on how the term is used I think.	2.0
b79f9c19-941e-4e29-a36b-8ab7310b686e	If evidence is not provided to support a position; then it should be rejected.	If a position is unverifiable; then it should be rejected.	4.8
0c2113a7-de48-41a8-bba9-057aa08b9c71	They later fell out and have backed a series of rival Congolese militias in recent years.	The two invading countries later fell out, and have since backed rival factions.	3.5
73e3d2e7-7372-46fe-ab2a-13b558c48a97	A white and black dog is jumping into a pool.	A woman in a black apron is standing in front of a mirror.	0.0
b1819be0-6bfd-4dd9-b49b-1eadf98dcd7e	A white dog with light brown markings has a stick in his mouth and his paws in the snow.	A white dog holds a stick in its mouth while it runs through snow.	4.0
541e9bc4-00d6-4e4c-82e2-d2d5bf679eb3	Shares of Coke closed New York Stock Exchange trading Thursday at $44.01.	In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.	2.4
45aa6103-4b0a-45b5-9c31-69987c39782b	Syrian forces launch new attacks	Syria forces launch Aleppo attack	3.4
a0173131-6457-4f82-b446-de44da88a5e8	I was going to the court believing I could do this, only if I played my best tennis.	"""I was believing that I was confident I could do this, but only in the case I would play my best tennis."	4.8
e66d907a-eeb9-4f10-9022-0d1041ad7318	Delhi Gang Rape Suspect 'Beaten, Poisoned'	Delhi gang-rape verdict deferred again	1.8
5ed64db4-6459-4b07-b2ef-8e9f9a831c0c	A monkey is karate kicking at someone's gloved hand.	A monkey pratices martial arts.	3.5
fa9db46e-6d0f-4b03-adbf-7d5b60e4322f	Prosecutors filed a motion informing Lee they intend to seek the death penalty.	He added that prosecutors will seek the death penalty.	3.4
9f68e30a-60cf-4fe1-879d-10716b142632	The black dog is walking through the tall grass.	The black dog is running through the grass.	3.8
1ca6cfc6-72a5-4956-aaa1-f67b49c17a47	A man is riding a bike.	A woman is riding a horse.	1.4
5440b7d9-4387-4776-8b5c-d2ff01921d0e	All we know is this : Distant objects are receding from us at a rate proportional to their distance from us.	The expansion of space means that objects in cosmological distances are receding away from each other.	3.4
2bd76e89-06c4-457a-b64d-112c038921f7	Google Unveils Prototype Self-Driving Car	Google Unveils Concept Self-Driving Car	5.0
f3704908-b1b9-4d85-9e05-44841097df20	As I remember, in Geneva at least, there are open air markets on a weekly basis.	This page list all the big Christmas markets in Switzerland.	2.0
3ef15720-649b-4aa4-93e6-6c4558c3f0c8	Nearly all countries grew quickly in the 1950s and 1960s for pretty much the same reasons.	The USSR growth rate during the 50's was not exceptionally high.	1.0
4a71b0af-aa49-419b-951a-910afaa5dcdd	A girl in a red shirt is riding a brown horse.	A tan and white dog laying in bed with a yellow coverlet.	0.0
718bda84-3a33-44b3-a22c-1e89bf561043	An injured woman co-worker also was hospitalized and was listed in good condition.	A woman was listed in good condition at Memorial's HealthPark campus, he said.	2.2
f6f6051e-6d61-42a1-ac02-43ffcaa88175	Man dies in Co Donegal house fire	Woman dies in Co Cork house fire	2.2
a1bebb62-5a96-4d9a-8498-1042b9502671	"As per FIFA's ""Equipment Regulations"", Section 22, only the goalkeeper is permitted to wear a cap."	Although headgear is allowed to be worn, it is not advised for anyone other than the goalkeeper.	2.4
339752ba-4b83-4685-b2fd-5b1e64384ae8	A man is enjoying watching three asian children dance.	A man is watching three asian kids dance.	4.6
04ff8834-201f-4405-ad96-326815190542	Federer Wins 7th Wimbledon Title	Federer captures 7th Wimbledon title	5.0
b664d979-0ec3-4e89-be1f-86e498195d56	A herd of deer are crossing the street.	A herd of caribou are crossing a road.	3.0
3d93f48f-6a14-485a-bb42-5dddc3cd17eb	A man is eating a bowl of cereal.	The man is eating cereal.	4.0
9863bf4b-8f7d-4019-81c2-04153785e21f	Also, businesses throughout Utah are volunteering to display Amber alerts on their signs.	Other businesses are volunteering to put the alerts on their electronic signs and billboards.	3.75
ed6d22a1-6edb-4fdf-a478-fa443d8a0a77	A poll showed that the FBI bugging of the mayor had given a boost to his reelection effort against GOP opponent Sam Katz.	A poll released this week showed that the FBI bugging of the mayor has given a boost to his re-election effort.	4.0
9c358538-e1f2-492b-b693-3115e2c9b418	the cfe limits the use of armed forces and heavy weaponry and prescribes measures aimed at confidence-building, transparency and cooperation between member states.	the treaty limits deployments of tanks and troops in nato and former easter european warsaw pact countries and establishes confidence-building, transparency and cooperation measures between member	3.8
e069f2b2-cdf3-417f-b111-affcb1561af3	A woman is cutting some fish.	A woman is cutting tofu.	2.2
3e26b436-612e-4ef1-bb84-5a59257e8099	Homs mortar fire kills 105	Homs offensive kills 200	2.6
04a9e95f-4d21-48a5-8e6a-e6219e4a0be4	5 US airstrikes target Islamic State fighters	Kurds see Turkey impeding Islamic State fight	1.0
9bd6162f-9d9a-45e6-83ac-a60d133dfb04	It's not imposing morals.	It's imposing a law.	1.1
a81d5e3e-8f8a-4c97-80a0-fdf304e1fbac	Jeff Bezos Bets $250 Million on Reviving Washington Post	Jeff Bezos Pays $250 Million For The Washington Post	4.2
6096b20b-0e46-484a-a5a0-8d6e09eb1d4c	17:02 23 killed in Iraq car bombings	11 children killed in Syria bombings	0.6
83a9cabf-250a-4ff1-8480-bb7a0a7592c2	korobeynichev's laboratory worked with the u.s. lawrence livermore national laboratory.	korobeynichev's laboratory worked with other scientific institutes.	3.2
377fc0f7-f115-4022-bb06-fdc0b7fa013e	A woman puts ingredients in a whisked egg.	A man pours gasoline.	0.0
cd31b091-d193-479a-a3f5-b244afb5882d	"Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday's competition."	"The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday."	3.75
dee3698e-3703-461c-94fd-4cddb19da82b	A woman is slicing an onion.	A woman is cutting a carrot.	1.4
42b621b1-a735-4f19-8f1e-03fdb43099b8	I have the same thing.	I have the exact same problem.	4.0
7ab0d49b-6628-4ad6-a8b7-d4e4ce61d134	Algerian government parties dominate elections	Algerian national turnout of parliamentary vote reaches 44.38 pct	2.4
bc9cd2c9-c965-4297-9a3f-162f380f3ca3	The technology-laced Nasdaq Composite Index <.IXIC> added 8.27 points, or 0.51 percent, to 1,633.53.	The broader Standard & Poor's 500 Index .SPX crept up 4.3 points, or 0.44 percent, to 980.52.	1.2
d4b8591a-35eb-4a65-ae7c-bca2196f73e0	Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.	Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.	1.846
03d6ce46-c9df-4abb-9bbf-d5243a65d636	Scientists Resurrect Flowers from Prehistoric Seeds	Nintendo trims red ink, lowers forecast for year	0.0
854c77d3-858b-4036-a523-9bd8f2a621db	A man is slicing a bun.	A man is slicing an onion.	2.4
9531e97a-f497-440d-9888-248230af3a86	Calif man pleads not guilty in girl kidnap case	Calif. man pleads not guilty in terrorism case	2.2
016c8716-38d5-4556-9667-126dd02f2457	Ecuador President Correa says no decision made on Assange asylum	Ecuador yet to decide on Assange's asylum	3.8
ce828401-f4d0-4b47-a9f7-07c96e73b69c	There are two things to consider:	There are two possible causes for this:	4.0
b0dab445-42ec-41d4-9744-c40dc98f2a09	A dog runs through the grass.	a dog runs across the grass.	4.8
41ec3172-e1ec-4db1-84de-b286880288b8	Druce will face murder charges, Conte said.	Conte said Druce will be charged with murder.	5.0
f0d81546-d24f-48cb-b0e3-8404d3cbfc44	billion . Everyone in the world at Mexico's current prosperity level.	"Everyone in the world at the current ""prosperity"" level of Northwest Africa."	1.5333333
d1c75b09-009f-45c2-a29d-3a2386f1e28e	Freddie Starr Arrested In Savile Abuse Probe	Third man arrested in Savile sex abuse probe	3.2
3263d524-0837-4d76-b1b1-c96849580d05	Gusmao consolidates power in East Timor elections	Gusmao powers on in East Timor	3.6
975fdec0-3480-49e9-85b4-fbbab5f27049	Neither Iowa State athletic director Bruce Van De Velde nor Morgan could be reached for comment.	Iowa State athletic director Bruce Van de Velde would not confirm an offer was made to Lebo.	2.8
dc8fd432-dc4e-4e15-8600-ff617c86df00	A man is cycling.	A man is talking.	0.6
b5b77c60-3728-4834-b556-fefbe3ecd20d	Algeria hostage crisis ends; death toll unclear	Algeria hostage crisis ends in bloodbath	3.8
8f9ee660-cf44-47e4-9b21-44b45f354ee0	"The New York senator's new book, ""Living History,"" appears a certain bestseller."	Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History.	3.2
de295380-adee-4abc-9cf3-c1c1b544eed8	Annan warns talks of Syria risks	Putin, Annan meet on Syria crisis	2.0
c996d937-e218-4ade-b165-d7b9b0403b93	A yellow car speeds along a snowy field.	A yellow car drives quickly in the snow.	4.4
c3216696-8634-4684-8701-ebadd78c4100	The index, which measures activity in the service sector, climbed to 50.7 last month from 47.9 in March.	The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month, from 47.9 in March.	3.5
7f35db9b-62a2-4327-ac1e-9cb19c5dee20	A man is playing a guitar.	A man is singing while playing the guitar.	3.6
dc06827a-c7a7-4278-9fbf-21fec2155d3f	There are four snowboarders going off a jump and that are in the air.	Two racers are coming to a turn.	1.0
be7ed2bc-6f4b-4b99-a20d-8f5f0e3abd9d	5 aid workers freed in operation in Afghanistan	Suicide bomber kills 37 at mosque in Afghanistan	0.8
01acc48b-9962-4637-8594-6c8fbaef14a8	"You're ""a bunch of cells."""	"I'm ""a bunch of cells."""	2.4
6a35d90d-185e-4ed9-a1c5-2c07b9c61153	Relief in Boston as second suspect captured	Police confirm how suspect was captured	2.4
f0fcc6d0-b22e-4238-b40e-9e5fa5dc5a92	Two men standing on beach.	Two women standing in front of tour bus.	0.0
70c1349d-192d-45da-b4b0-c61dbca41b69	A man is dancing.	A rat is running.	0.0
18ca6618-31d5-4083-84c2-62917f56b6e1	Al-Qaida says it captures 70 Yemeni soldiers in Abyan's battle	Al Qaeda clashes, blasts kill 35 soldiers in Yemen	1.4
db286ed8-0991-4205-b8d4-9146de59b9f8	Nobel Prize winning author Doris Lessing dies	Nobel laureate Doris Lessing dies at 94	4.6
65ada20d-c1b7-46cf-8273-b1d28252e8d3	Austrian found hoarding 56 stolen skulls in home museum	Stolen skulls found in home museum	3.4
685a4e01-419c-4982-98c3-d34042169cfc	Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.	MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.	3.25
d613487d-29ab-4319-b143-788314610e29	Protesters had been calling for an end to the country's hard-line establishment and for supreme leader Khamenei's death.	The protesters denounced the country's supreme leader, hard-liner Ayatollah Ali Khamenei.	3.0
590d0583-0932-43da-b194-3857e7a57f16	An AeroMexico jet taxing along a runway.	A silver AreoMexico Jet Liner sitting on the tarmac.	3.2
beb481de-175a-4062-9fc8-6f60391b9c30	Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.	Total shipments reached 19.5 million units last year, compared with 8.9 million units in 2001.	3.6
4054c0bc-971e-402f-a587-5008c96f0b04	Iran dissidents 'killed in Iraq'	France loses influence in Europe	0.0
4f5e3f52-be26-47a1-be45-b2598c60948d	A gorilla is playing the drums.	A monkey is playing drums.	3.333
596da2fe-c15c-401a-adc6-7134ff339c69	Bahraini protesters and police clash after funeral	Greek protesters, police clash as bailout deal in limbo	0.6
faa34437-093f-4542-b079-2785ee096925	Egypt Crackdown Draws Condemnation	Egypt: Egypt crackdown sparks global outrage	4.6
aa99d5c3-9db5-4d16-b2e5-edbd2afb4ea8	Syria tells Russia some troops have pulled out of Homs	Syria says troops have begun pullout – video	3.4
6215c3eb-45a2-4332-8dd6-de4eb23e4ff7	The beagle is walking on the beach at the waterline.	A beagle walks along the calm shore.	4.4
ec878525-e81d-4c4a-8761-88cfcdbcbe37	A musician is smearing jam on his white guitar at a concert.	Trombonist playing the her instrument in a band for a parade.	0.4
2a1bbe10-6459-48ef-89e6-224f5135d09d	Hawaii passes gay marriage bill	US Senate passes gay workers bill	1.0
11e5b57a-e8f4-4667-9fe4-d4b9a1675445	A little boy and a little girl playing together outside.	A woman wearing a white shirt stands on the street.	0.0
a9ab726e-c260-4391-94d1-5728240f2211	Iraqi president in hospital due to health problem	Iraqi president in hospital after suffering stroke	3.6
b58585e7-b2fe-4be8-aac4-66bd278af019	Large group of people standing outside of a building.	A group of people are ice skating in a big city.	2.0
7708a8cf-9e7e-46af-8189-d4cb7d070ae7	religious fiction Isn't that redundant and repetetive?	Isn't that redundant and repetetive?	3.2
29c0e59a-1110-4768-bfba-8ec7f2865682	Home office space with bright green walls and artwork.	Small office space with bright green walls.	3.8
073b5016-2103-4adb-a82d-81e51b567374	Originally Posted by anabelle What's wrong with that?	Originally Posted by Vienna To 'say' what?	0.0
7ff00cf7-f8e1-4fc4-9943-e213c82b1b52	Germany warns Greece: No more money without reforms	Euro zone to Greece: No rescue without reforms	2.6
077bcaf2-5f50-4592-9fa9-66297ec5ee5b	Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.	The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties.	3.2
dfce2655-013b-4d58-b9ac-3d7c1a6f648e	A girl is wearing a purple sash and matching skirt.	A group of girls stands wearing jean skirts and superman shirts.	1.6
60cb4a1f-ca4f-48f3-987c-0643bc112a9e	Israel's Peres urges return to peace talks	Israel's Peres calls for return to peace talks	5.0
f50de1d1-e2eb-46c9-94fb-d4e98817371a	In the latest top-level shuffle at CNN, Teya Ryan is leaving her post as general manager of U.S. programming, the network announced.	In CNN's latest move to rejuvenate ratings, the network has ousted Teya Ryan, general manager of U.S. programming.	3.769
b71dcce3-1326-45b2-95a5-02cdc7002a00	Egypt court sentences 10 Brotherhood supporters to death - sources	Turkish PM tells supporters to prepare for rallies	0.2
19acea96-86c0-45bd-8fd4-09086550bb9c	A man is fishing in the river.	A man is singing while walking down the sidewalk.	0.8
d9b2b462-5091-49cc-ad8a-9bfb6f0b6cc9	A man riding a white horse in an arena.	A domestic animal stands in a pen.	0.6
b854a32a-40c0-4381-ba0f-3c8854f7733c	Sure, I've  done this very trip.	I've done this many dozens of times.	3.0
4a215f8e-435a-4640-9e14-824cae424f49	She survives him as do their four children -- sons Anthony and Kelly, daughters Linda Hope and Nora Somers -- and four grandchildren.	Hope is survived by his wife; sons Anthony and Kelly; daughters Linda and Nora Somers; and four grandchildren.	3.8
d4a4cdb4-8b68-4f22-9392-26181374f25b	I'm American, and I've never heard the bathroom referred to as St. John's.	In situations like these, I tend to lengthen out the phrase.	0.0
f02bda2c-12c6-4f7b-ba12-480534c6a71e	The lady put the skewered shimp in the hot water.	The lady fried the breaded meat in hot oil.	1.6
2b8ceb0d-2e83-405b-a408-f3f08f1d2e8c	The man in the red shirt is climbing the side of a mountain.	A man is climbing the side of a mountain.	4.2
2728f10c-4a3e-42fa-8cef-69e9f1128278	A person is slicing onions.	Someone is slicing an onion.	4.6
76caf4d2-ab70-4825-92e4-102398450fbf	At least 18 killed in Iraq mosque bombing	More than 60 killed at Iraq funeral	0.0
ab93854a-7a21-4593-9454-e88a32fdab4d	A man in a straw hat shades his phone while others walk on a busy sidewalk.	A man lies on a street with his headand shoulders under a parked car that is jacked up.	0.6
998a6c97-ea94-4c6b-a5d1-a6c59f5043f4	A train is running on the tracks.	A train is running down the track in a rural area.	4.0
44b91296-261c-4678-9e88-ad035e43c8ae	A group of people standing outside of a building.	A large group of people have formed a line outside.	3.2
a43b6cdd-0bef-4d39-8819-95c5cf3c7288	"Mr Hadley, who has a new partner and child, said: ""I am absolutely delighted."	"In a statement issued by his solicitors, Mr Hadley said: ""I am absolutely delighted with the outcome of proceedings."	3.4
a7346937-6926-4b5f-836d-6c7bb44cfedb	No. 2 HP saw its Unix server sales dropped 3.6 percent to $1.36 billion.	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.	2.333
728ed9d0-7797-43d3-bc87-8fcbc1a951fa	"I don't prefix or suffix everything with ""you hate Jews."""	You should stop prefixing or suffixing everything with you hate Jews.	3.0
